,title,comment,score
1495,robbing people,start charging call connected pay tell welcome minutes finished never ask anyway minute automated system starts talking thats start billing start billing call connected please check screen see taking whether connected lose minute try another minute gone,1
1496,cancell order guys asap…,cancell order guys asap im upset wit since guys wont cancell order guys suck customer service,1
1497,introduced rebtel a…,introduced rebtel friend bought credits begun use service call ghana usa working ok got phone bill phone company 100 euros 150 euros dont understand wrong,2
1498,quality voice call,quality voice call like,4
1499,found rebtel became expensive ring middle east,found rebtel became expensive ring middle east,3
1500,great quality easy use,works saves money,5
1501,normalcalling great rates…,normalcalling great rates dubai reduced,5
1502,excellent,excellent highly recommended,5
1503,hey rebtel,hey rebtel,1
1504,world mobile jus 10,world mobile jus 10,5
1505,cell phone rate ghana high,cell phone rate ghana high lower 10 cents per minutes better,3
1506,100 happy service far a…,100 happy service far fair price,5
1507,watch unauthorized charges,recently bad experience rebtel charged 790 allegedly ordering 50 minutes united arab emirates make purchase moreover never reason call country buy minutes uae therefore called bank dispute transaction complained rebtel restricted account demanded cancel dispute accept unauthorized charge really bottom line longer use services many free alternatives whatsapp skype facebook messenger googlechat forth hoping give refund unused minutes unfortunately check see unused minutes blocked account way approach customer service shut customer ridiculous first got message rebtel agreeing refund 790 got following message exact copy,1
1508,easy convenient use,easy convenient use recommend friends,5
1509,find communication with…,find communication rebtel goes well,4
1510,would pay 30mins bonus…,would pay 30mins bonus still cant make calls,2
1511,good service,good service cheapest found international calling add countries like zambia,5
1512,reliable,reliable,4
1513,affordable unlimited,affordable unlimited,5
1514,first time cutting …fine,first time cutting working fine question friends call conference number usa get charge phone company use rebtel call free,5
1515,best service low price,best service low price 10 one match service,5
1516,quite practical dont lose your…,quite practical dont lose caller id receiver,5
1517,cheap easy use😊😊,cheap easy use😊😊,5
1518,give guyz thumbs up👍👍👍👍,give guyz thumbs up👍👍👍👍,5
